Year,Winner,Mins,Secs,TotalTime
1875,Aristides,2,37.75,157.75
1876,Vagrant,2,38.25,158.25
1877,Baden-Baden,2,38,158
1878,Day Star,2,37.25,157.25
1879,Lord Murphy,2,27,147
1880,Fonso,2,27.5,147.5
1881,Hindoo,2,40,160
1882,Apollo,2,40.25,160.25
1883,Leonatus,2,43,163
1884,Buchanan,2,40.25,160.25
1885,Joe Cotton,2,37.25,157.25
1886,Ben Ali,2,36.5,156.5
1887,Montrose,2,39.25,159.25
1888,Macbeth II,2,38.25,158.25
1889,Spokane,2,34.5,154.5
1890,Riley,2,45,165
1891,Kingman,2,52.25,172.25
1892,Azra,2,41.5,161.5
1893,Lookout,2,39.25,159.25
1894,Chant,2,41,161
1895,Halma,2,37.5,157.5
1896,Ben Brush,2,7.75,127.75
1897,Typhoon II,2,12.5,132.5
1898,Plaudit,2,9,129
1899,Manuel,2,12,132
1900,Lt. Gibson,2,6.25,126.25
1901,His Eminence,2,7.75,127.75
1902,Alan-A-Dale,2,8.75,128.75
1903,Judge Himes,2,9,129
1904,Elwood,2,8.5,128.5
1905,Agile,2,10.75,130.75
1906,Sir Huon,2,8.8,128.8
1907,Pink Star,2,12.6,132.6
1908,Stone Street,2,15.2,135.2
1909,Wintergreen,2,8.2,128.2
1910,Donau,2,6.4,126.4
1911,Meridian,2,5,125
1912,Worth,2,9.4,129.4
1913,Donerail,2,4.8,124.8
1914,Old Rosebud,2,3.4,123.4
1915,Regret,2,5.4,125.4
1916,George Smith,2,4,124
1917,Omar Khayyam,2,4.6,124.6
1918,Exterminator,2,10.8,130.8
1919,Sir Barton,2,9.8,129.8
1920,Paul Jones,2,9,129
1921,Behave Yourself,2,4.2,124.2
1922,Morvich,2,4.6,124.6
1923,Zev,2,5.4,125.4
1924,Black Gold,2,5.2,125.2
1925,Flying Ebony,2,7.6,127.6
1926,Bubbling Over,2,3.8,123.8
1927,Whiskery,2,6,126
1928,Reigh Count,2,10.4,130.4
1929,Clyde Van Dusen,2,10.8,130.8
1930,Gallant Fox,2,7.6,127.6
1931,Twenty Grand,2,1.8,121.8
1932,Burgoo King,2,5.2,125.2
1933,Brokers Tip,2,6.8,126.8
1934,Cavalcade,2,4,124
1935,Omaha,2,5,125
1936,Bold Venture,2,3.6,123.6
1937,War Admiral,2,3.2,123.2
1938,Lawrin,2,4.8,124.8
1939,Johnstown,2,3.4,123.4
1940,Gallahadion,2,5,125
1941,Whirlaway,2,1.4,121.4
1942,Shut Out,2,4.4,124.4
1943,Count Fleet,2,4,124
1944,Pensive,2,4.2,124.2
1945,"Hoop, Jr.",2,7,127
1946,Assault,2,6.6,126.6
1947,Jet Pilot,2,6.8,126.8
1948,Citation,2,5.4,125.4
1949,Ponder,2,4.2,124.2
1950,Middleground,2,1.6,121.6
1951,Count Turf,2,2.6,122.6
1952,Hill Gail,2,1.6,121.6
1953,Dark Star,2,2,122
1954,Determine,2,3,123
1955,Swaps,2,1.8,121.8
1956,Needles,2,3.4,123.4
1957,Iron Liege,2,2.2,122.2
1958,Tim Tam,2,5,125
1959,Tomy Lee,2,2.2,122.2
1960,Venetian Way,2,2.4,122.4
1961,Carry Back,2,4,124
1962,Decidedly,2,0.4,120.4
1963,Chateaugay,2,1.8,121.8
1964,Northern Dancer,2,0,120
1965,Lucky Debonair,2,1.2,121.2
1966,Kauai King,2,2,122
1967,Proud Clarion,2,0.6,120.6
1968,Forward Pass,2,2.2,122.2
1969,Majestic Prince,2,1.8,121.8
1970,Dust Commander,2,3.4,123.4
1971,Canonero II,2,3.2,123.2
1972,Riva Ridge,2,1.8,121.8
1973,Secretariat,1,59.4,119.4
1974,Cannonade,2,4,124
1975,Foolish Pleasure,2,2,122
1976,Bold Forbes,2,1.6,121.6
1977,Seattle Slew,2,2.2,122.2
1978,Affirmed,2,1.2,121.2
1979,Spectacular Bid,2,2.2,122.2
1980,Genuine Risk,2,2,122
1981,Pleasant Colony,2,2,122
1982,Gato Del Sol,2,2.4,122.4
1983,Sunny's Halo,2,2.2,122.2
1984,Swale,2,2.4,122.4
1985,Spend a Buck,2,0.2,120.2
1986,Ferdinand,2,2.8,122.8
1987,Alysheba,2,3.4,123.4
1988,Winning Colors,2,2.2,122.2
1989,Sunday Silence,2,5,125
1990,Unbridled,2,2,122
1991,Strike the Gold,2,3,123
1992,Lil E. Tee,2,3,123
1993,Sea Hero,2,2.4,122.4
1994,Go For Gin,2,3.6,123.6
1995,Thunder Gulch,2,1.2,121.2
1996,Grindstone,2,1,121
1997,Silver Charm,2,2.4,122.4
1998,Real Quiet,2,4.2,124.2
1999,Charismatic,2,3.2,123.2
2000,Fusaichi Pegasus,2,1,121
2001,Monarchos,1,59.97,119.97
2002,War Emblem,2,1.1,121.1
2003,Funny Cide,2,1.19,121.19
2004,Smarty Jones,2,4.06,124.06
2005,Giacomo,2,2.75,122.75
2006,Barbaro,2,1.36,121.36
2007,Street Sense,2,2.17,122.17
2008,Big Brown,2,1.82,121.82
2009,Mine That Bird,2,2.66,122.66
2010,Super Saver,2,4.04,124.04