League,Field,Win.Percentage
american,home,0.654
american,home,0.63
american,home,0.63
american,home,0.667
american,home,0.667
american,home,0.691
american,home,0.63
american,home,0.61
american,home,0.646
american,home,0.617
american,home,0.585
american,home,0.627
american,home,0.605
american,home,0.696
american,home,0.679
american,home,0.679
american,home,0.563
american,home,0.58
american,home,0.605
american,home,0.617
american,home,0.623
american,home,0.688
american,home,0.728
american,home,0.741
american,home,0.691
american,home,0.605
american,home,0.608
american,home,0.63
american,home,0.617
american,home,0.725
american,home,0.625
american,home,0.802
american,home,0.714
american,home,0.61
american,home,0.571
american,home,0.623
american,home,0.636
american,home,0.675
american,home,0.766
american,home,0.649
american,home,0.636
american,home,0.718
american,home,0.688
american,home,0.701
american,home,0.615
american,home,0.714
american,home,0.792
american,home,0.658
american,home,0.701
american,home,0.701
american,home,0.753
american,home,0.662
american,home,0.633
american,home,0.675
american,home,0.714
american,home,0.74
american,home,0.727
american,home,0.679
american,home,0.675
american,home,0.605
american,home,0.805
american,home,0.8
american,home,0.763
american,home,0.781
american,home,0.675
american,home,0.75
american,home,0.667
american,home,0.707
american,home,0.61
american,home,0.605
american,home,0.649
american,away,0.531
american,away,0.543
american,away,0.642
american,away,0.556
american,away,0.617
american,away,0.358
american,away,0.55
american,away,0.513
american,away,0.638
american,away,0.593
american,away,0.588
american,away,0.482
american,away,0.593
american,away,0.588
american,away,0.549
american,away,0.556
american,away,0.658
american,away,0.608
american,away,0.506
american,away,0.543
american,away,0.577
american,away,0.593
american,away,0.605
american,away,0.605
american,away,0.58
american,away,0.531
american,away,0.605
american,away,0.63
american,away,0.605
american,away,0.568
american,away,0.561
american,away,0.543
american,away,0.545
american,away,0.61
american,away,0.623
american,away,0.649
american,away,0.623
american,away,0.571
american,away,0.675
american,away,0.662
american,away,0.597
american,away,0.553
american,away,0.584
american,away,0.558
american,away,0.636
american,away,0.545
american,away,0.558
american,away,0.494
american,away,0.455
american,away,0.571
american,away,0.584
american,away,0.649
american,away,0.533
american,away,0.73
american,away,0.587
american,away,0.584
american,away,0.605
american,away,0.548
american,away,0.635
american,away,0.697
american,away,0.584
american,away,0.61
american,away,0.564
american,away,0.61
american,away,0.636
american,away,0.679
american,away,0.519
american,away,0.566
american,away,0.584
american,away,0.684
american,away,0.571
national,home,0.63
national,home,0.593
national,home,0.568
national,home,0.654
national,home,0.556
national,home,0.605
national,home,0.679
national,home,0.667
national,home,0.593
national,home,0.617
national,home,0.568
national,home,0.589
national,home,0.605
national,home,0.593
national,home,0.667
national,home,0.63
national,home,0.605
national,home,0.79
national,home,0.642
national,home,0.531
national,home,0.553
national,home,0.65
national,home,0.704
national,home,0.634
national,home,0.58
national,home,0.605
national,home,0.654
national,home,0.617
national,home,0.593
national,home,0.654
national,home,0.744
national,home,0.61
national,home,0.675
national,home,0.59
national,home,0.623
national,home,0.584
national,home,0.675
national,home,0.727
national,home,0.697
national,home,0.779
national,home,0.577
national,home,0.641
national,home,0.61
national,home,0.623
national,home,0.592
national,home,0.675
national,home,0.628
national,home,0.653
national,home,0.711
national,home,0.734
national,home,0.779
national,home,0.675
national,home,0.724
national,home,0.688
national,home,0.571
national,home,0.667
national,home,0.667
national,home,0.727
national,home,0.623
national,home,0.64
national,home,0.688
national,home,0.692
national,home,0.688
national,home,0.675
national,home,0.545
national,home,0.608
national,home,0.61
national,home,0.675
national,home,0.662
national,home,0.61
national,home,0.654
national,away,0.58
national,away,0.568
national,away,0.556
national,away,0.481
national,away,0.613
national,away,0.568
national,away,0.654
national,away,0.58
national,away,0.543
national,away,0.494
national,away,0.568
national,away,0.556
national,away,0.519
national,away,0.617
national,away,0.506
national,away,0.58
national,away,0.654
national,away,0.543
national,away,0.617
national,away,0.488
national,away,0.679
national,away,0.549
national,away,0.556
national,away,0.6
national,away,0.617
national,away,0.65
national,away,0.519
national,away,0.58
national,away,0.556
national,away,0.568
national,away,0.506
national,away,0.597
national,away,0.558
national,away,0.538
national,away,0.571
national,away,0.649
national,away,0.532
national,away,0.553
national,away,0.564
national,away,0.584
national,away,0.68
national,away,0.608
national,away,0.571
national,away,0.636
national,away,0.597
national,away,0.545
national,away,0.628
national,away,0.62
national,away,0.654
national,away,0.627
national,away,0.597
national,away,0.623
national,away,0.584
national,away,0.568
national,away,0.6
national,away,0.584
national,away,0.526
national,away,0.571
national,away,0.618
national,away,0.558
national,away,0.481
national,away,0.618
national,away,0.506
national,away,0.613
national,away,0.688
national,away,0.613
national,away,0.545
national,away,0.566
national,away,0.553
national,away,0.632
national,away,0.553